total 0
dr-x------ 2 root root 122 Feb 11 09:32 .
dr-xr-xr-x 9 root root   0 Feb 11 09:32 ..
lr-x------ 1 root root  64 Feb 11 09:32 0 -> /dev/null
l-wx------ 1 root root  64 Feb 11 09:32 1 -> /dev/null
lr-x------ 1 root root  64 Feb 11 09:35 10 -> /proc/sys/kernel/hostname
lrwx------ 1 root root  64 Feb 11 09:35 100 -> socket:[29502]
lrwx------ 1 root root  64 Feb 11 09:35 101 -> socket:[29306]
lrwx------ 1 root root  64 Feb 11 09:35 102 -> socket:[29307]
lrwx------ 1 root root  64 Feb 11 09:35 103 -> socket:[29548]
lrwx------ 1 root root  64 Feb 11 09:35 104 -> socket:[29553]
lrwx------ 1 root root  64 Feb 11 09:35 105 -> socket:[29554]
lrwx------ 1 root root  64 Feb 11 09:35 106 -> socket:[29642]
lrwx------ 1 root root  64 Feb 11 09:35 107 -> socket:[29687]
lrwx------ 1 root root  64 Feb 11 09:35 108 -> socket:[29978]
lrwx------ 1 root root  64 Feb 11 09:35 109 -> socket:[29854]
lrwx------ 1 root root  64 Feb 11 09:35 11 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Feb 11 09:35 110 -> socket:[29693]
lrwx------ 1 root root  64 Feb 11 09:35 112 -> socket:[29814]
lrwx------ 1 root root  64 Feb 11 09:35 113 -> socket:[29741]
lrwx------ 1 root root  64 Feb 11 09:35 114 -> socket:[29745]
lrwx------ 1 root root  64 Feb 11 09:35 115 -> socket:[29706]
lrwx------ 1 root root  64 Feb 11 09:35 116 -> socket:[29749]
lrwx------ 1 root root  64 Feb 11 09:35 117 -> socket:[29979]
lrwx------ 1 root root  64 Feb 11 09:35 118 -> socket:[29857]
lrwx------ 1 root root  64 Feb 11 09:35 119 -> socket:[29875]
lrwx------ 1 root root  64 Feb 11 09:35 12 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Feb 11 09:35 120 -> socket:[29903]
lrwx------ 1 root root  64 Feb 11 09:35 121 -> socket:[29821]
lrwx------ 1 root root  64 Feb 11 09:35 122 -> socket:[29859]
lrwx------ 1 root root  64 Feb 11 09:35 123 -> socket:[29865]
lrwx------ 1 root root  64 Feb 11 09:35 124 -> socket:[30227]
lrwx------ 1 root root  64 Feb 11 09:35 125 -> socket:[29904]
lrwx------ 1 root root  64 Feb 11 09:35 126 -> socket:[29913]
lrwx------ 1 root root  64 Feb 11 09:35 127 -> socket:[29920]
lrwx------ 1 root root  64 Feb 11 09:35 128 -> socket:[29924]
lrwx------ 1 root root  64 Feb 11 09:35 129 -> socket:[30011]
lrwx------ 1 root root  64 Feb 11 09:35 13 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Feb 11 09:35 130 -> socket:[30229]
lrwx------ 1 root root  64 Feb 11 09:35 131 -> socket:[30246]
lrwx------ 1 root root  64 Feb 11 09:35 132 -> socket:[30765]
lrwx------ 1 root root  64 Feb 11 09:35 133 -> socket:[30789]
lrwx------ 1 root root  64 Feb 11 09:35 134 -> socket:[30805]
lrwx------ 1 root root  64 Feb 11 09:35 135 -> socket:[30830]
lrwx------ 1 root root  64 Feb 11 09:35 136 -> socket:[30832]
lrwx------ 1 root root  64 Feb 11 09:35 137 -> socket:[30848]
lrwx------ 1 root root  64 Feb 11 09:35 138 -> socket:[30950]
lrwx------ 1 root root  64 Feb 11 09:32 14 -> socket:[9811]
lrwx------ 1 root root  64 Feb 11 09:35 142 -> socket:[30982]
