total 0
dr-x------ 2 administrator administrator 134 Feb 11 09:34 .
dr-xr-xr-x 9 administrator administrator   0 Feb 11 09:34 ..
lr-x------ 1 administrator administrator  64 Feb 11 09:34 0 -> /dev/null
lrwx------ 1 administrator administrator  64 Feb 11 09:34 1 -> socket:[27849]
lr-x------ 1 administrator administrator  64 Feb 11 09:34 10 -> anon_inode:inotify
lrwx------ 1 administrator administrator  64 Feb 11 09:35 100 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 101 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 102 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 103 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 104 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 105 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 106 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 107 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 108 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 109 -> anon_inode:[pidfd]
lr-x------ 1 administrator administrator  64 Feb 11 09:35 11 -> anon_inode:inotify
lrwx------ 1 administrator administrator  64 Feb 11 09:35 110 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 111 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 112 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 113 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 114 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 115 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 116 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 117 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 118 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 119 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 12 -> anon_inode:[timerfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 120 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 121 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 122 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 123 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 124 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 125 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 126 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 127 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 128 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 129 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 13 -> anon_inode:[eventpoll]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 130 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 131 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 132 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 133 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 134 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 135 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:38 136 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:38 137 -> anon_inode:[pidfd]
lr-x------ 1 administrator administrator  64 Feb 11 09:35 14 -> /proc/2754/mountinfo
lr-x------ 1 administrator administrator  64 Feb 11 09:35 15 -> anon_inode:inotify
lr-x------ 1 administrator administrator  64 Feb 11 09:35 16 -> /proc/swaps
lrwx------ 1 administrator administrator  64 Feb 11 09:34 17 -> socket:[27897]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 18 -> socket:[26624]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 19 -> socket:[28673]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 2 -> socket:[27849]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 20 -> socket:[28674]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 21 -> socket:[28675]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 22 -> socket:[28676]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 23 -> anon_inode:[timerfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 24 -> socket:[28678]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 29 -> /sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/init.scope/memory.pressure
lrwx------ 1 administrator administrator  64 Feb 11 09:34 3 -> socket:[27882]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 30 -> socket:[27903]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 31 -> socket:[27973]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 32 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 33 -> socket:[27908]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 34 -> socket:[27910]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 35 -> socket:[27912]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 36 -> socket:[27914]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 37 -> socket:[27916]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 38 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 39 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 4 -> anon_inode:[eventpoll]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 40 -> socket:[27918]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 41 -> socket:[27920]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 42 -> socket:[27922]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 43 -> socket:[27924]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 44 -> socket:[27926]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 45 -> socket:[27928]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 46 -> socket:[27930]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 47 -> socket:[27932]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 48 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 49 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 5 -> anon_inode:[signalfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 50 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 51 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 52 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 53 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 54 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 55 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 56 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 57 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 58 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 59 -> socket:[28063]
lr-x------ 1 administrator administrator  64 Feb 11 09:35 6 -> anon_inode:inotify
lrwx------ 1 administrator administrator  64 Feb 11 09:35 60 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 61 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 62 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 63 -> anon_inode:[pidfd]
lr-x------ 1 administrator administrator  64 Feb 11 09:35 64 -> anon_inode:inotify
lr-x------ 1 administrator administrator  64 Feb 11 09:35 65 -> anon_inode:inotify
lrwx------ 1 administrator administrator  64 Feb 11 09:35 66 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 67 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 68 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 69 -> anon_inode:[pidfd]
lr-x------ 1 administrator administrator  64 Feb 11 09:35 7 -> /sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service
lrwx------ 1 administrator administrator  64 Feb 11 09:35 70 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 71 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 72 -> anon_inode:[pidfd]
